index,article_id,article_span,span_start,span_end,tAnger,tFear,tJoy,tSadness,tValence,tEmotion,tEmotionScore,tSentiment,tSentimentScore,label
0,111111111,The next transmission could be more pronounced or stronger,265,323,0.392,0.436,0.249,0.469,0.518,no specific emotion,0,neutral,0,Appeal_to_Authority
1,111111111,"when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw",1795,1935,0.489,0.586,0.22,0.464,0.387,fear,6,negative,-1,Appeal_to_Authority
2,111111111,appeared,149,157,0.348,0.404,0.31,0.424,0.447,sadness,4,negative,-1,Doubt
3,111111111,"a very, very different",1069,1091,0.461,0.436,0.31,0.474,0.36,sadness,5,negative,-1,Repetition
4,111111111,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak",1334,1462,0.395,0.533,0.298,0.395,0.465,fear,5,negative,-1,Appeal_to_fear-prejudice
5,111111111,but warned that the danger was not over,1577,1616,0.405,0.524,0.22,0.522,0.384,fear,5,negative,-1,Appeal_to_fear-prejudice
6,111111111,the magnitude in the next transmission could be higher,1856,1910,0.35,0.454,0.26,0.39,0.533,joy,3,positive,1,Appeal_to_fear-prejudice
7,111111111,it could even spill over into neighbouring countries and beyond,2023,2086,0.454,0.543,0.26,0.426,0.41,fear,5,negative,-1,Appeal_to_fear-prejudice
8,111111112,Stop Islamization of America.,191,221,0.537,0.457,0.15,0.489,0.308,anger,5,negative,-1,Slogans
9,111111112,We condemn all those whose behaviours and views run counter to our shared values,476,556,0.428,0.324,0.275,0.41,0.456,anger,4,negative,-1,Black-and-White_Fallacy
10,111111112,"Defeat Jihad """,785,798,0.456,0.498,0.266,0.53,0.366,sadness,5,negative,-1,Slogans
11,111111112,"the nation that gave the world the Magna Carta is dead "" .",958,1015,0.449,0.483,0.253,0.485,0.473,sadness,5,negative,-1,Loaded_Language
12,111111112,"The UK should never become a stage for inflammatory speakers who promote hate. """,1456,1536,0.569,0.478,0.092,0.481,0.326,anger,6,negative,-1,Flag-Waving
13,111111112,hate preachers,1810,1824,0.682,0.531,0.015,0.628,0.103,anger,7,very negative,-2,"Name_Calling,Labeling"
14,111111112,"delighted ""  with the decision.",2095,2125,0.269,0.245,0.526,0.275,0.701,joy,5,very positive,2,Loaded_Language
15,111111112,a striking blow against freedom,911,942,0.472,0.426,0.324,0.54,0.406,sadness,5,negative,-1,Loaded_Language
16,111111112,so-called land of democracy and freedom of speech,1738,1787,0.291,0.327,0.412,0.267,0.662,joy,4,positive,1,"Name_Calling,Labeling"
17,111111113,hair trigger in single-action mode,1396,1430,0.434,0.454,0.289,0.37,0.469,fear,5,negative,-1,Loaded_Language
18,111111113,"sanctuary ""  policy",3082,3099,0.417,0.47,0.326,0.522,0.44,sadness,5,negative,-1,"Name_Calling,Labeling"
19,111111113,"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents. """,3828,3985,0.541,0.564,0.124,0.541,0.332,fear,6,negative,-1,"Whataboutism,Straw_Men,Red_Herring"
20,111111113,pinned blame for Steinle ' s death on illegal immigration and insufficiently aggressive deportation policies.,361,469,0.634,0.59,0.081,0.606,0.239,anger,6,very negative,-2,Causal_Oversimplification
21,111111113,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets, """,3580,3741,0.544,0.572,0.126,0.573,0.275,sadness,6,very negative,-2,Causal_Oversimplification
22,111111113,Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails.,4865,5007,0.511,0.534,0.163,0.485,0.353,fear,5,negative,-1,Causal_Oversimplification
23,111111113,a complete travesty of justice.,5743,5774,0.574,0.462,0.255,0.564,0.319,anger,6,negative,-1,Loaded_Language
24,111111113,"BUILD THE WALL! """,5775,5791,0.378,0.36,0.403,0.398,0.488,no specific emotion,0,neutral,0,Slogans
25,111111113,firestorm of outrage,259,280,0.621,0.578,0.276,0.578,0.26,anger,6,very negative,-2,Loaded_Language
26,111111113,alien,3658,3664,0.427,0.428,0.24,0.466,0.356,sadness,5,negative,-1,Loaded_Language
27,111111113,The Kate Steinle killer,5556,5580,0.454,0.57,0.269,0.444,0.387,fear,6,negative,-1,"Name_Calling,Labeling"
28,111111114,they fear they could face discrimination or violence if forced to return to the world  '  s largest Muslim-majority country.,1705,1826,0.601,0.69,0.172,0.562,0.324,fear,7,negative,-1,Appeal_to_fear-prejudice
29,111111115,"aggressively stuck his tongue in my mouth """,658,700,0.489,0.53,0.353,0.432,0.38,fear,5,negative,-1,Loaded_Language
30,111111115,"wet, open-mouthed kiss """,1870,1893,0.206,0.33,0.507,0.308,0.593,joy,5,positive,1,Loaded_Language
31,111111115,"Franken ' s office said he has not  "" intentionally engage in ""  the  "" kind of conduct ""  described.",1655,1746,0.467,0.413,0.191,0.461,0.359,anger,5,negative,-1,Appeal_to_Authority
